Customer_ID,Customer_Name,Gender,Age,City
CUST00001,Customer_1,Female,29,Mumbai
CUST00002,Customer_2,Male,55,Chennai
CUST00003,Customer_3,Male,42,Bangalore
CUST00004,Customer_4,Male,29,Pune
CUST00005,Customer_5,Female,21,Chennai
CUST00006,Customer_6,Male,53,Bangalore
CUST00007,Customer_7,Male,53,Hyderabad
CUST00008,Customer_8,Female,30,Bangalore
CUST00009,Customer_9,Male,48,Hyderabad
CUST00010,Customer_10,Female,35,Pune
CUST00011,Customer_11,Male,30,Mumbai
CUST00012,Customer_12,Male,41,Chennai
CUST00013,Customer_13,Male,46,Hyderabad
CUST00014,Customer_14,Male,60,Delhi
CUST00015,Customer_15,Male,59,Pune
CUST00016,Customer_16,Female,19,Bangalore
CUST00017,Customer_17,Male,51,Mumbai
CUST00018,Customer_18,Female,47,Mumbai
CUST00019,Customer_19,Male,42,Pune
CUST00020,Customer_20,Male,42,Chennai
CUST00021,Customer_21,Female,35,Mumbai
CUST00022,Customer_22,Male,29,Delhi
CUST00023,Customer_23,Male,23,Mumbai
CUST00024,Customer_24,Male,59,Pune
CUST00025,Customer_25,Male,20,Bangalore
CUST00026,Customer_26,Female,54,Delhi
CUST00027,Customer_27,Female,49,Chennai
CUST00028,Customer_28,Male,26,Delhi
CUST00029,Customer_29,Male,32,Chennai
CUST00030,Customer_30,Female,34,Chennai
CUST00031,Customer_31,Female,26,Pune
CUST00032,Customer_32,Female,33,Bangalore
CUST00033,Customer_33,Male,60,Mumbai
CUST00034,Customer_34,Female,51,Mumbai
CUST00035,Customer_35,Male,32,Chennai
CUST00036,Customer_36,Female,29,Delhi
CUST00037,Customer_37,Male,59,Bangalore
CUST00038,Customer_38,Female,52,Chennai
CUST00039,Customer_39,Male,46,Delhi
CUST00040,Customer_40,Male,33,Pune
CUST00041,Customer_41,Female,60,Pune
CUST00042,Customer_42,Female,59,Hyderabad
CUST00043,Customer_43,Female,26,Chennai
CUST00044,Customer_44,Female,36,Mumbai
CUST00045,Customer_45,Male,40,Chennai
CUST00046,Customer_46,Male,25,Hyderabad
CUST00047,Customer_47,Female,23,Hyderabad
CUST00048,Customer_48,Male,18,Mumbai
CUST00049,Customer_49,Female,35,Bangalore
CUST00050,Customer_50,Female,20,Mumbai
CUST00051,Customer_51,Female,32,Mumbai
CUST00052,Customer_52,Female,41,Delhi
CUST00053,Customer_53,Female,52,Hyderabad
CUST00054,Customer_54,Female,25,Delhi
CUST00055,Customer_55,Male,35,Mumbai
CUST00056,Customer_56,Female,44,Pune
CUST00057,Customer_57,Male,58,Chennai
CUST00058,Customer_58,Male,41,Mumbai
CUST00059,Customer_59,Female,52,Mumbai
CUST00060,Customer_60,Male,21,Bangalore
CUST00061,Customer_61,Female,43,Chennai
CUST00062,Customer_62,Male,45,Hyderabad
CUST00063,Customer_63,Male,24,Hyderabad
CUST00064,Customer_64,Male,32,Bangalore
CUST00065,Customer_65,Male,21,Hyderabad
CUST00066,Customer_66,Male,58,Pune
CUST00067,Customer_67,Female,23,Mumbai
CUST00068,Customer_68,Female,44,Hyderabad
CUST00069,Customer_69,Male,34,Delhi
CUST00070,Customer_70,Male,47,Hyderabad
CUST00071,Customer_71,Female,54,Bangalore
CUST00072,Customer_72,Female,53,Pune
CUST00073,Customer_73,Female,26,Pune
CUST00074,Customer_74,Male,46,Hyderabad
CUST00075,Customer_75,Female,43,Chennai
CUST00076,Customer_76,Male,36,Bangalore
CUST00077,Customer_77,Female,59,Chennai
CUST00078,Customer_78,Male,49,Bangalore
CUST00079,Customer_79,Female,42,Hyderabad
CUST00080,Customer_80,Male,24,Delhi
CUST00081,Customer_81,Male,47,Hyderabad
CUST00082,Customer_82,Female,58,Chennai
CUST00083,Customer_83,Male,33,Hyderabad
CUST00084,Customer_84,Male,30,Mumbai
CUST00085,Customer_85,Female,44,Hyderabad
CUST00086,Customer_86,Female,47,Mumbai
CUST00087,Customer_87,Female,21,Pune
CUST00088,Customer_88,Female,39,Mumbai
CUST00089,Customer_89,Female,59,Hyderabad
CUST00090,Customer_90,Female,41,Bangalore
CUST00091,Customer_91,Female,40,Chennai
CUST00092,Customer_92,Male,37,Bangalore
CUST00093,Customer_93,Female,31,Delhi
CUST00094,Customer_94,Male,44,Bangalore
CUST00095,Customer_95,Male,30,Delhi
CUST00096,Customer_96,Female,53,Bangalore
CUST00097,Customer_97,Female,34,Mumbai
CUST00098,Customer_98,Male,22,Bangalore
CUST00099,Customer_99,Male,44,Mumbai
CUST00100,Customer_100,Female,59,Delhi
CUST00101,Customer_101,Male,44,Chennai
CUST00102,Customer_102,Male,19,Mumbai
CUST00103,Customer_103,Female,56,Mumbai
CUST00104,Customer_104,Female,24,Delhi
CUST00105,Customer_105,Female,45,Hyderabad
CUST00106,Customer_106,Female,49,Delhi
CUST00107,Customer_107,Female,45,Delhi
CUST00108,Customer_108,Female,40,Bangalore
CUST00109,Customer_109,Male,23,Delhi
CUST00110,Customer_110,Female,60,Pune
CUST00111,Customer_111,Female,51,Hyderabad
CUST00112,Customer_112,Female,50,Hyderabad
CUST00113,Customer_113,Female,30,Bangalore
CUST00114,Customer_114,Male,47,Mumbai
CUST00115,Customer_115,Female,45,Chennai
CUST00116,Customer_116,Female,36,Bangalore
CUST00117,Customer_117,Male,21,Pune
CUST00118,Customer_118,Female,32,Pune
CUST00119,Customer_119,Female,50,Bangalore
CUST00120,Customer_120,Male,20,Hyderabad
CUST00121,Customer_121,Male,32,Bangalore
CUST00122,Customer_122,Male,42,Hyderabad
CUST00123,Customer_123,Female,34,Mumbai
CUST00124,Customer_124,Male,53,Hyderabad
CUST00125,Customer_125,Female,52,Hyderabad
CUST00126,Customer_126,Female,33,Pune
CUST00127,Customer_127,Female,43,Mumbai
CUST00128,Customer_128,Male,55,Chennai
CUST00129,Customer_129,Male,58,Pune
CUST00130,Customer_130,Male,49,Chennai
CUST00131,Customer_131,Male,46,Pune
CUST00132,Customer_132,Male,38,Mumbai
CUST00133,Customer_133,Female,36,Pune
CUST00134,Customer_134,Male,46,Mumbai
CUST00135,Customer_135,Male,59,Mumbai
